"Parasite.species","Host.no","Stage","hosts","hs","var.hs","stage2","maxLCL","abs_diff","rel_diff"
"Abbreviata antarctica",1,"1larv",2,2,0,"larva",2,NA,NA
"Abbreviata antarctica",2,"adult",12,2.74242424242424,0.312442607897153,"adult",2,NA,NA
"Abbreviata caucasica",1,"1larv",2,1,NA,"larva",2,0.033197356832639,1.71795467045055
"Abbreviata caucasica",2,"adult",4,2.33333333333333,0.555555555555556,"adult",2,256.447742424162,3.87955769312669
"Abbreviata kazachstanica",1,"1larv",26,3.25263157894737,0.904598337950138,"larva",3,0.176073134085671,2.06564192740279
"Abbreviata kazachstanica",2,"2larv",2,5,0,"larva",3,NA,NA
"Abbreviata kazachstanica",3,"adult",1,1,NA,"adult",3,NA,NA
"Abbreviata turkomanica",1,"1larv",1,NA,NA,"larva",2,NA,NA
"Abbreviata turkomanica",2,"adult",3,1.66666666666667,0.222222222222222,"adult",2,NA,NA
"Acanthobothrium brevissime",1,"1larv",2,NA,NA,"larva",2,NA,NA
"Acanthobothrium brevissime",2,"adult",1,1,NA,"adult",2,NA,NA
"Acanthocephalus anguillae",1,"1larv",1,1,NA,"larva",2,1.21877148199774,3.24659594338503
"Acanthocephalus anguillae",2,"adult",7,2.52380952380952,0.91609977324263,"adult",2,NA,NA
"Acanthocephalus anthuris",1,"1larv",1,1,NA,"larva",2,NA,NA
"Acanthocephalus anthuris",2,"adult",5,2.5,1.65,"adult",2,4.4614934389126,0.972443196334309
"Acanthocephalus clavula",1,"1larv",3,3,2,"larva",2,3.1002136502819,4.18448605280641
"Acanthocephalus clavula",2,"adult",4,3.66666666666667,0.555555555555556,"adult",2,164.287567186353,1.73230425394948
"Acanthocephalus dirus",1,"1larv",5,1.8,0.16,"larva",2,2.6523976116391,3.74687116722324
"Acanthocephalus dirus",2,"adult",6,3.2,0.96,"adult",2,0.497908863302482,0.0747018829887912
"Acanthocephalus galaxii",1,"1larv",1,1,NA,"larva",2,0.167529669402758,3.18752072083646
"Acanthocephalus galaxii",2,"adult",4,3.5,1.25,"adult",2,NA,NA
"Acanthocephalus lucii",1,"1larv",1,1,NA,"larva",2,0.679451993604433,3.0391430701222
"Acanthocephalus lucii",2,"adult",7,3.73333333333333,0.328888888888889,"adult",2,14.8708101822783,1.35919924935388
"Acanthocephalus ranae",1,"1larv",1,1,NA,"larva",2,1.17369626125159,3.18478108277205
"Acanthocephalus ranae",2,"adult",10,3.08888888888889,1.14765432098765,"adult",2,18.2268394800244,1.21799129499314
"Acanthocephalus rhinensis",1,"1larv",1,1,NA,"larva",2,1.23000405263548,3.70326088098148
"Acanthocephalus rhinensis",2,"adult",1,1,NA,"adult",2,9.26884846516037,0.931159357082883
"Acanthocephalus sp.",1,"1larv",1,1,NA,"larva",2,NA,NA
"Acanthocephalus sp.",2,"adult",4,3.66666666666667,0.555555555555556,"adult",2,NA,NA
"Acanthocephalus tumescens",1,"1larv",1,1,NA,"larva",3,NA,NA
"Acanthocephalus tumescens",2,"adult",5,3.7,0.81,"adult",3,NA,NA
"Acanthocephalus tumescens",3,"adult",2,2,0,"adult",3,NA,NA
"Acanthocirrus retrirostris",1,"1larv",1,1,NA,"larva",2,NA,NA
"Acanthocirrus retrirostris",2,"adult",3,1.66666666666667,0.222222222222222,"adult",2,NA,NA
"Acanthogyrus (Acanthosentis) lizae",1,"1larv",1,1,NA,"larva",2,0.00312785001832605,0.586729847248739
"Acanthogyrus (Acanthosentis) lizae",2,"adult",1,1,NA,"adult",2,46.2165991264746,4.03942028455957
"Acanthosentis dattai",1,"1larv",1,1,NA,"larva",2,NA,NA
"Acanthosentis dattai",2,"adult",2,2,0,"adult",2,2.1559415028215,2.97490968795629
"Acuaria anthuris",1,"1larv",1,1,NA,"larva",2,0.000388616582045384,0.192303292862269
"Acuaria anthuris",2,"adult",5,1.7,0.21,"adult",2,NA,NA
"Acuaria depressa",1,"1larv",3,2,0,"larva",2,NA,NA
"Acuaria depressa",2,"adult",4,1,0,"adult",2,NA,NA
"Acuaria gruveli",1,"1larv",1,1,NA,"larva",2,0.000147308625028356,0.106020819140269
"Acuaria gruveli",2,"adult",2,2,0,"adult",2,1.21194327797992,3.25117206671975
"Acuaria hamulosa",1,"1larv",21,3.59649122807018,0.63835026161896,"larva",2,0.00084898585695816,0.415227274580766
"Acuaria hamulosa",2,"adult",3,2,0,"adult",2,3.94538670690902,3.45664616476092
"Acuaria subula",1,"1larv",1,1,NA,"larva",2,-0.000330833050201751,-0.515477730696033
"Acuaria subula",2,"adult",15,2.87619047619048,0.16562358276644,"adult",2,0.784437134076003,3.73239457365276
"Aelurostrongylus abstrusus",1,"1larv",22,3.0718954248366,0.432739544619591,"larva",3,0.000220995989471801,0.463655852439509
"Aelurostrongylus abstrusus",2,"2larv",6,4.66666666666667,0.355555555555556,"larva",3,NA,NA
"Aelurostrongylus abstrusus",3,"adult",1,1,NA,"adult",3,NA,NA
"Aelurostrongylus falciformis",1,"1larv",7,2.86666666666667,0.248888888888889,"larva",2,0.000257607716204121,0.731892038673397
"Aelurostrongylus falciformis",2,"adult",1,1,NA,"adult",2,NA,NA
"Aelurostrongylus pridhami",1,"1larv",9,3.61111111111111,0.29320987654321,"larva",3,9.64293015463465e-05,0.598765823703119
"Aelurostrongylus pridhami",2,"2larv",8,4.46428571428571,0.677295918367347,"larva",3,NA,NA
"Aelurostrongylus pridhami",3,"adult",4,2,0,"adult",3,NA,NA
"Allodapa suctoria",1,"1larv",16,3.56060606060606,0.609963269054178,"larva",2,0.00322565800354285,0.376208887519448
"Allodapa suctoria",2,"adult",5,3.1,0.69,"adult",2,1.67325987712047,2.47942268430119
"Amidostomum acutum",1,"adult",6,2,2,"adult",1,0.215387619197357,3.3989095348704
"Amidostomum anseris",1,"adult",3,2,0,"adult",1,1.90484521718926,4.13992355216017
